,episode_length,ep_reward,episodes,total_step,average_return
0,20,0.0,0,20,0.0
1,20,0.0,100,2020,0.11
2,20,1.0,200,4020,0.0
3,20,-2.0,300,6020,-0.08
4,20,1.0,400,8020,-0.15
5,20,2.0,500,10020,0.17
6,20,0.0,600,12020,0.4
7,20,-1.0,700,14020,0.25
8,20,0.0,800,16020,0.52
9,20,0.0,900,18020,0.14
10,20,-1.0,1000,20020,0.49
11,20,1.0,1100,22020,0.47
12,20,0.0,1200,24020,0.57
13,20,0.0,1300,26020,0.54
14,20,0.0,1400,28020,0.65
15,20,1.0,1500,30020,0.65
16,20,0.0,1600,32020,0.55
17,20,0.0,1700,34020,0.41
18,20,2.0,1800,36020,0.73
19,20,2.0,1900,38020,0.9
20,20,2.0,2000,40020,0.93
21,20,1.0,2100,42020,0.76
22,20,1.0,2200,44020,0.74
23,20,2.0,2300,46020,0.82
24,20,-2.0,2400,48020,0.69
25,20,2.0,2500,50020,0.99
26,20,1.0,2600,52020,0.73
27,20,1.0,2700,54020,0.98
28,20,1.0,2800,56020,0.96
29,20,3.0,2900,58020,1.1
30,20,0.0,3000,60020,0.82
31,20,1.0,3100,62020,1.08
32,20,2.0,3200,64020,0.94
33,20,0.0,3300,66020,0.74
34,20,1.0,3400,68020,0.97
35,20,2.0,3500,70020,1.09
36,20,-1.0,3600,72020,0.78
37,20,0.0,3700,74020,1.12
38,20,2.0,3800,76020,1.0
39,20,0.0,3900,78020,0.83
40,20,-1.0,4000,80020,1.03
41,20,3.0,4100,82020,0.96
42,20,1.0,4200,84020,0.97
43,20,2.0,4300,86020,0.76
44,20,2.0,4400,88020,1.0
45,20,0.0,4500,90020,1.06
46,20,1.0,4600,92020,1.27
47,20,3.0,4700,94020,1.1
48,20,0.0,4800,96020,0.89
49,20,1.0,4900,98020,1.0
50,20,1.0,5000,100020,1.19
51,20,2.0,5100,102020,0.92
52,20,0.0,5200,104020,1.02
53,20,1.0,5300,106020,1.05
54,20,0.0,5400,108020,0.98
55,20,1.0,5500,110020,0.9
56,20,1.0,5600,112020,0.84
57,20,2.0,5700,114020,1.08
58,20,2.0,5800,116020,1.11
59,20,0.0,5900,118020,1.18
60,20,1.0,6000,120020,1.0
61,20,1.0,6100,122020,1.12
62,20,1.0,6200,124020,1.09
63,20,0.0,6300,126020,1.07
64,20,0.0,6400,128020,0.88
65,20,0.0,6500,130020,1.11
66,20,0.0,6600,132020,0.86
67,20,2.0,6700,134020,1.2
68,20,-1.0,6800,136020,0.98
69,20,0.0,6900,138020,0.97
70,20,2.0,7000,140020,0.83
71,20,0.0,7100,142020,0.96
72,20,1.0,7200,144020,0.91
73,20,2.0,7300,146020,1.11
74,20,2.0,7400,148020,1.04
75,20,0.0,7500,150020,1.11
76,20,1.0,7600,152020,0.82
77,20,2.0,7700,154020,1.07
78,20,2.0,7800,156020,1.1
79,20,1.0,7900,158020,1.0
80,20,4.0,8000,160020,0.96
81,20,2.0,8100,162020,1.1
82,20,1.0,8200,164020,1.03
83,20,2.0,8300,166020,0.93
84,20,4.0,8400,168020,1.03
85,20,0.0,8500,170020,1.03
86,20,1.0,8600,172020,1.02
87,20,1.0,8700,174020,1.17
88,20,2.0,8800,176020,1.14
89,20,-1.0,8900,178020,1.06
90,20,1.0,9000,180020,0.9
91,20,2.0,9100,182020,1.05
92,20,2.0,9200,184020,1.14
93,20,1.0,9300,186020,1.09
94,20,3.0,9400,188020,1.07
95,20,-1.0,9500,190020,0.86
96,20,0.0,9600,192020,1.13
97,20,2.0,9700,194020,0.95
98,20,1.0,9800,196020,1.29
99,20,0.0,9900,198020,1.19
100,20,-1.0,10000,200020,1.11
